Status,Event_Date,Start_Time,End_Time,Type,Description,Borough,LocationofEvent,EventAddress,ActualParticipants,Postcode,Latitude,Longitude,CommunityBoard,CouncilDistrict ,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
Completed (59),4/29/2017,10:00 AM,4:00 PM,RNY Fair (FAIR),Healthy Kids Day,Queens,YMCA of Greater New York at Ridgewood,"6902 64th street
Ridgewood, NY 11385",100,11385,40.704098,-73.893798,405,30,4088138,4036310006,581,QN0502
Completed (59),4/29/2017,10:00 AM,3:00 PM,RNY Fair (FAIR),9th Annual Health Fair and Student Recognition event,Brooklyn,MS 2,655 Parkside Ave Brooklyn NY 11226,100,11226,40.656183,-73.951583,309,40,3378201,3050500051,802,BK0902
Completed (59),4/29/2017,10:00 AM,3:00 PM,RNY Fair (FAIR),World Tai Chi & Qigong Day,Bronx,Crotona Park Amphitheater,1596-1672 Crotona Ave,50,10457,40.837331,-73.897474,203,15,,,163,BX0391
Completed (59),4/30/2017,10:00 AM,2:00 PM,RNY Fair (FAIR),Emergency Preparedness Day Out,Brooklyn,Marine Park Parking Lot,Ave U ( near East 33rd & Stewart),250,,,,,,,,,
Completed (59),4/30/2017,1:00 PM,4:00 PM,RNY Fair (FAIR),Catholic Charities Community Resource Fair for Seniors and People with Disabilities,Queens,St. Kevin�s Parish,45-21 194th St Flushing NY 11358 entrance on 195th Street,50,11358,40.755222,-73.787256,411,19,4125018,4055360001,145101,QN1101
Completed (59),5/2/2017,11:00 AM,12:00 PM,RNY General Presentation (GEN),RNY Presentation for Seniors,Queens,QCH Rego Park Senior Center,"93-29 Queens Blvd Rego Park, NY 11375 Basement",35,11374,40.73147,-73.866044,406,24,4050408,4020770050,71702,QN0601
Completed (59),5/2/2017,11:00 AM,12:00 PM,RNY General Presentation (GEN),RNY Presentation: Adapt Community Network Bronx,Bronx,NY,2432 Grand Concourse 2nd Fl Bronx NY 10458,25,10458,40.860634,-73.898114,205,15,2013591,2031520060,23702,BX0503
Completed (59),5/2/2017,9:00 AM,11:00 AM,RNY for Kids (KIDS),Ready NY for Pre-K,Brooklyn,The Joan Snow Pre-K Center,1139 Coney Island Avenue,80,11230,40.630101,-73.966207,314,45,3421641,3066860048,528,BK1402
Completed (59),5/3/2017,10:30 AM,11:30 PM,RNY General Presentation (GEN),Bilingual RNY Presentation for Older Adults,Queens,Woodside Senior Center,50-37 Newtown RD #19 Woodside NY 11377,35,11377,40.753724,-73.911047,401,26,4430993,4007360002,163,QN0104
Completed (59),5/3/2017,11:30 AM,12:30 PM,RNY General Presentation (GEN),Bilingual Emergency Presentation for Older Adults,Queens,Florence Smith Senior Center,102-19 34th ave Corona NY 11368,50,11368,40.755742,-73.865988,403,21,4042602,4017170033,379,QN0303
Completed (59),5/3/2017,10:00 AM,11:00 AM,RNY General Presentation (GEN),RNY Presentation:   Seniors who are Deaf at Peter Cardella Senior Center Queens,Queens,Peter Cardella Senior Center,68-52 Freshpond Road Ridgewood NY 11385,25,,,,,,,,,
Completed (59),5/3/2017,6:30 PM,7:30 PM,RNY General Presentation (GEN),RNY YMCA ESOL,Manhattan,YMCA Harlem,180 W 135th St.,50,10030,40.815114,-73.943263,110,9,1058250,1019190053,228,MN1002
Completed (59),5/3/2017,9:00 AM,11:00 AM,RNY for Kids (KIDS),Ready NY for Pre-K,Brooklyn,The Joan Snow Pre-K Center,1139 Coney Island Avenue,144,11230,40.630101,-73.966207,314,45,3421641,3066860048,528,BK1402
Completed (59),5/3/2017,8:00 AM,10:00 AM,RNY Fair/Presentation (FP),PARK AVENUE THORPE COMMUNITY SERVICES,Bronx,Park Avenue Thorpe,"406 East 184th street 
Bronx NY 10458
646-713-2732",100,10458,40.856646,-73.894993,206,15,2011182,2030310007,38304,BX0603
Completed (59),5/4/2017,1:00 PM,3:00 PM,RNY General Presentation (GEN),Preparedness for the Healthy Homes Program (DOHMH),Manhattan,DOHMH,"125 Worth St, 3rd Floor, Boardroom",25,10013,40.715428,-74.002673,101,1,1001831,1001680032,31,MN0102
Completed (59),5/4/2017,7:30 PM,8:30 PM,RNY General Presentation (GEN),RNY Emergency Preparedness Presentation,Staten Island,St. John's Evangelical Church,"216 Jewett Ave Staten Island, NY 10302",30,10302,40.63163,-74.130499,501,49,5024102,5010270084,213,SI0106
Completed (59),5/4/2017,8:30 AM,9:30 AM,RNY General Presentation (GEN),Emergency Preparedness for Staff Members at Rusk Renovations,Manhattan,"39 West 37 Street - 15th Floor
New York, NY 10018",Same as above,35,,,,,,,,,
Completed (59),5/4/2017,5:00 PM,7:00 PM,RNY General Presentation (GEN),Presentation for the Consulate General of the Dominican Republic,Manhattan,Consulate General of the Dominican Republic,1501 Broadway #410,180,10036,40.757103,-73.986193,105,3,1024706,1010150029,119,MN0502
Completed (59),5/4/2017,7:00 PM,9:00 PM,RNY General Presentation (GEN),Queens Town Hall: Fire Safety Awareness,Queens,Campus Magnet High School,207-01 116 Ave,40,11411,40.697819,-73.745728,413,27,4238003,4110490001,53401,QN1304
Completed (59),5/5/2017,8:00 AM,9:45 PM,RNY Hurricane (H),Ready NY For Kids- Extreme Weather Class,Queens,MS 137 classroom 233,109-15 98 Street,30,11417,40.6781,-73.839948,410,32,4467457,4091720001,86,QN1002
Completed (59),5/5/2017,10:00 AM,11:15 PM,RNY General Presentation (GEN),Emergency Preparedness for Older Adults,Queens,Newtown Senior Center,83-20 Queens Blvd Elmhurst NY 11373,30,11373,40.737205,-73.879686,404,30,4057291,4024760017,475,QN0401
Completed (59),5/5/2017,9:00 AM,11:00 AM,RNY for Kids (KIDS),Ready NY for Tweens,Queens,MS 67Q,51-60 Marathon Parkway,900,11362,40.762708,-73.733694,411,19,4170797,4082210012,150701,QN1103
Completed (59),5/5/2017,9:15 AM,2:15 PM,RNY for Kids (KIDS),Ready NY for Kids,Brooklyn,Brooklyn School Collaborative Studies/MS448,610 Henry Street,90,11231,40.68007,-74.001377,306,39,3336036,3003690001,63,BK0601
Completed (59),5/5/2017,11:00 AM,5:00 PM,RNY Fair (FAIR),New York Metro Abilities Expo,Manhattan,New Jersey Convention & Expo Center,"97 Sunfield Ave, Edison, New Jersey",500,,,,,,,,,
Completed (59),5/6/2017,12:00 PM,4:00 PM,RNY Fair (FAIR),Earth Day Rockaway 2017,Queens,Rockaway Institute for a Sustainable Environment (RISE),58-03  Rockaway Beach Blvd,100,11692,40.592098,-73.78784,414,31,4302052,4159260044,97202,QN1402
Completed (59),5/6/2017,11:30 AM,2:30 PM,RNY Fair (FAIR),8th Annual Health Fair and Family Day,Brooklyn,Sunset Park Recreation Center,7th Ave at 43rd St,350,,,,,,,,,
Completed (59),5/6/2017,10:00 AM,6:00 PM,RNY Fair (FAIR),New York Metro Abilities Expo,Manhattan,New Jersey Convention & Expo Center,"97 Sunfield Avenue, Edison, NJ08837",350,,,,,,,,,
Completed (59),5/6/2017,9:30 AM,2:00 PM,RNY Fair (FAIR),Bronx Family Fun Day,Bronx,Public School 168X - District 75,339 Morris Avenue,150,10451,40.813641,-73.925313,201,8,2000957,2023330070,51,BX0101
Completed (59),5/6/2017,10:00 AM,2:00 PM,RNY Fair (FAIR),Family Resource Expo,Queens,York College Atrium,94-20 Guy R Brewer Blvd Jamaica NY,50,11433,40.702532,-73.795578,412,27,4215630,4101040043,246,QN1201
Completed (59),5/7/2017,11:00 AM,4:00 PM,RNY Fair (FAIR),New York Metro Abilities Expo,Manhattan,New Jersey Convention & Expo Center,"97 Sunfield Avenue, Edison, NJ08837",250,,,,,,,,,
Completed (59),5/9/2017,11:00 AM,12:00 PM,RNY General Presentation (GEN),RNY Bilingual Emergency Prep for Older Adults,Queens,Catholic Charities Ozone Park Senior Center,"103-02 101st Avenue, ozone Park, New York, 11416",65,11416,40.686027,-73.839777,409,29,4198392,4094210001,112,QN0904
Completed (59),5/9/2017,10:00 AM,11:00 AM,RNY General Presentation (GEN),Manhattan Family Services Committee Meeting,Manhattan,Sinergia Inc.,2082 Lexington Ave 4th Floor,15,10035,40.804763,-73.937149,111,9,1054488,1017740056,196,MN1102
Completed (59),5/9/2017,9:00 AM,10:00 PM,RNY General Presentation (GEN),DOB/FDNY Annual Exercise,Queens,Fort Totten,Totten Ave & 15 Rd,50,,,,,,,,,
Completed (59),5/9/2017,9:30 AM,3:00 PM,RNY Fair (FAIR),Brooklyn Adult Learning Center Community Health Fair,Brooklyn,Brooklyn Adult Learning Center,475 Nostrand Ave,250,11216,40.681233,-73.949737,303,36,3053020,3018440001,249,BK0301
Completed (59),5/10/2017,11:00 AM,11:45 AM,RNY General Presentation (GEN),RNY Preparedness Presentation,Queens,Selfhelp Maspeth Senior Center,69-61 Grand Ave Maspeth NY 11378,30,11378,40.727019,-73.893556,405,30,4058561,4025010032,49302,QN0501
Completed (59),5/10/2017,12:00 PM,1:00 PM,RNY General Presentation (GEN),Mt. Sinai Spinal Cord Transition Support Group,Manhattan,Mt. Sinai,1450 Madison Ave 2nd Fl Rm 265,15,10029,40.789647,-73.952407,111,8,1083922,1016040006,168,MN1101
Completed (59),5/10/2017,8:45 AM,10:30 AM,RNY for Kids (KIDS),Ready NY for Kids,Bronx,PS 277,519 St. Ann's Ave,360,10455,40.813517,-73.913402,201,8,2000114,2022740023,43,BX0101
Completed (59),5/11/2017,10:30 AM,12:00 PM,RNY General Presentation (GEN),Ready NY for Parent Workshop,Bronx,Baychester Middle School,3750 Baychester Ave. 10466,40,10466,40.884953,-73.840524,212,12,2066190,2049350001,48402,BX1202
Completed (59),5/11/2017,1:00 PM,2:00 PM,RNY General Presentation (GEN),RNY Bilingual Emergency Preparedness Presentation for Older Adults,Manhattan,Community Room,10 west 138th street NY NY 10037,32,10037,40.815108,-73.937287,110,9,1053920,1017350040,212,MN1002
Completed (59),5/11/2017,11:30 AM,12:30 PM,RNY General Presentation (GEN),Canaan Senior Service Center,Manhattan,Canaan Senior Center,160 W 116th Bet. Adam Clayton Powell and Malcolm X Blvd's,15,,,,,,,,,
Completed (59),5/11/2017,9:00 AM,11:00 AM,RNY for Kids (KIDS),Ready NY for Kids,Brooklyn,PS 305,344 Monroe Street,180,11216,40.686076,-73.945229,303,36,3051458,3018190014,265,BK0301
Completed (59),5/12/2017,1:00 PM,2:00 PM,RNY General Presentation (GEN),RNY Presentation @ United Cerebral Palsy,Manhattan,UCP of NY,80 Maiden Lane 4th Floor NY NY 10038,35,,,,,,,,,
Completed (59),5/12/2017,9:00 AM,12:30 PM,RNY General Presentation (GEN),41st Annual Law Day,Queens,IS 73 Q,10-02 54th Ave,75,,,,,,,,,
Completed (59),5/12/2017,9:00 AM,1:00 PM,RNY Fair (FAIR),Special Needs Resource Fair,Staten Island,Jewish Community Center,"1466 Manor Road, Staten Island, New York 10314.",60,10314,40.594916,-74.125393,502,50,5141743,5009550100,181,SI0203
Completed (59),5/12/2017,4:00 PM,8:00 PM,RNY Fair (FAIR),DYCD Comic Con,Brooklyn,BRIC House,647 Fulton Street,200,11217,40.688236,-73.979212,302,35,3058597,3020950001,33,BK0203
Completed (59),5/13/2017,11:00 AM,3:00 PM,RNY Fair (FAIR),Emergency Preparedness Fair,Manhattan,Mid Manhattan Library,455 Fifth Ave,20,10016,40.752003,-73.981954,105,4,1017602,1008690074,82,MN0502
Completed (59),5/14/2017,1:30 PM,5:00 PM,RNY Fair (FAIR),Family and Pet Safety Day,Brooklyn,Shorefront Y (Street Level),3300 Coney Island Ave.,20,11235,40.575566,-73.95946,313,48,3326880,3086930001,36002,BK1303
Completed (59),5/15/2017,11:00 AM,12:00 PM,RNY General Presentation (GEN),Appreciation Academy,Manhattan,Community Service Society,633 Third Ave 10th Fl NY NY 10017 ( B 40 & 41St),20,10017,40.74991,-73.975061,106,4,1037174,1013147502,88,MN0603
Completed (59),5/16/2017,1:00 PM,2:00 PM,RNY Hurricane (H),Hurricane Preparedness,Brooklyn,Senior Alliance Senior Center,161 Corbin Place,10,11235,40.578026,-73.954127,315,48,3245719,3087190073,61004,BK1303
Completed (59),5/16/2017,4:00 PM,7:30 PM,RNY General Presentation (GEN),Parent Fun Night RNY Presentation for Parents,Queens,PS 14 Kindergarten Annex Lunchroom,"89-11 43 Avenue 
Elmhurst, NY 11373",85,11373,40.742724,-73.876522,404,25,4439251,4015710019,467,QN0401
Completed (59),5/16/2017,6:30 PM,7:30 PM,RNY General Presentation (GEN),Emergency Preparedness,Manhattan,Round the Clock Nursery Inc.,"300 W 145th Street 1st 
New York, NY 10039",18,10039,40.822892,-73.942071,110,9,1060788,1020447501,259,MN1002
Completed (59),5/16/2017,11:00 AM,12:00 PM,RNY General Presentation (GEN),General RNY Hurricane Preparedness and Beat the Heat for Older Adults,Queens,JSPOA Shelton Senior Center,89-09 162Street Jamaica NY 11432 1K,10,11432,40.706571,-73.799061,412,27,4208882,4097610036,44601,QN1201
Completed (59),5/16/2017,12:30 AM,1:30 PM,RNY General Presentation (GEN),ESOL Class,Brooklyn,Kingsborough Community College,2001 Oriental Blvd,65,11235,40.578497,-73.9349,315,48,3326937,3087600060,616,BK1503
Completed (59),5/16/2017,6:30 PM,7:30 PM,RNY General Presentation (GEN),YMCA Flushing,Queens,YMCA Flushing,138-46 Northern Blvd,50,11354,40.764119,-73.827142,407,20,4113292,4050100038,865,QN0707
Completed (59),5/16/2017,6:00 PM,8:00 PM,RNY Fair (FAIR),Community Board 10 Resource Fair,Manhattan,Harlem State Office Bldg,163 W 125 Street 8AB,100,10027,40.808644,-73.947524,110,9,1081602,1019100001,222,MN1001
Completed (59),5/17/2017,9:00 AM,11:00 AM,RNY General Presentation (GEN),Emergency Preparedness,Queens,PS/MS 105,"420 Beach 51 Street, Auditorium 11691",20,11691,40.595768,-73.781873,414,31,4302397,4159740003,97206,QN1402
Completed (59),5/17/2017,3:30 PM,7:00 PM,RNY Fair/Presentation (FP),Parent Forum Fair and Emergency Preparedness Presentation,Brooklyn,PS 224 School Gymnasium & Cafeteria,"757 Wortman Ave 
Bklyn, NY 11208",150,11208,40.664075,-73.866092,305,42,3098980,3045300001,1220,BK0505
Completed (59),5/17/2017,4:30 PM,7:00 PM,RNY Fair (FAIR),Community Health Fair,Queens,P.S. 65Q All purpose Room,"103-22 99th Street
Ozone Park, NY 11417",100,11417,40.68259,-73.841202,410,32,4438525,4091210011,4002,QN1002
Completed (59),5/18/2017,9:00 AM,12:00 PM,RNY General Presentation (GEN),RIIS ESOL,Queens,Jacob A. Riis Neighborhood Settlement,10-25 41st Avenue,50,11101,40.755488,-73.945328,401,26,4433386,4004700100,25,QN0105
Completed (59),5/18/2017,10:00 AM,11:00 AM,RNY for Kids (KIDS),Ready NY for Kids,Queens,P.S.4Q @ 179,196-35 Peck Avenue,500,11365,40.741808,-73.779655,408,23,4153407,4071280010,134702,QN0803
Completed (59),5/18/2017,6:00 PM,8:00 PM,RNY Fair (FAIR),3rd Annual Multi-Agency Town Hall meeting for the 47th Council District,Brooklyn,John Dewey High School,"50 Avenue X, Brooklyn, NY 11223",60,11223,40.589268,-73.981738,313,47,3194998,3071850020,308,BK1301
Completed (59),5/18/2017,10:00 AM,3:00 PM,RNY Fair (FAIR),Older Americans Month Celebration,Brooklyn,Brooklyn Public Library,10 Grand Army Plaza,250,11238,40.672833,-73.969069,355,35,3029665,3011830002,177,BK5591
Completed (59),5/18/2017,7:30 AM,1:00 PM,RNY Fair (FAIR),Interface with Brooklynites,Brooklyn,Metrotech Center,4 Metrotech Brooklyn NY (willoughby Entrance) 5th fl conference center,85,11201,40.693652,-73.98369,302,33,3319505,3020590001,1502,BK0202
Completed (59),5/19/2017,11:00 AM,12:00 PM,RNY General Presentation (GEN),Access VR Queens Presentation,Queens,Access VR Queens,11-15 47th Ave LIC NY 11101,35,11101,40.744926,-73.950179,402,26,4000477,4000560018,702,QN0201
Completed (59),5/19/2017,1:45 PM,2:45 PM,RNY General Presentation (GEN),RNY Preparedeness for Staff,Manhattan,Adapt Community Network,80 Maiden Ln 7th Floor RM 704 NY NY 10038,25,10038,40.707116,-74.007329,101,1,1001015,1000420031,7,MN0101
Completed (59),5/19/2017,9:00 AM,11:00 AM,RNY for Kids (KIDS),Ready NY for Kids,Queens,PS 90,86-50 109th St.,350,11418,40.697033,-73.839213,409,29,4192167,4092040028,128,QN0902
Completed (59),5/19/2017,8:30 AM,10:30 AM,RNY for Kids (KIDS),Ready Girl at PS 79 Career Day,Queens,PS 79,147-27 15th Drive,61,11357,40.785909,-73.818058,407,19,4105232,4046470001,1039,QN0702
Completed (59),5/20/2017,11:00 AM,4:00 PM,RNY General Presentation (GEN),Spring Fling Community Festival,Brooklyn,Spring Creek Public Library,12143 Flatlands Ave Brooklyn NY 11207,35,11207,40.653056,-73.885623,305,42,3098071,3044130025,1104,BK0503
Completed (59),5/20/2017,9:00 AM,2:00 PM,RNY Fair (FAIR),4th Annual I.S. 59 Community Health and Education Fair,Queens,IS 59,"132-55 Ridgedale Street, Room B-30",200,11413,40.68173,-73.753429,412,27,4274083,4127230076,352,QN1205
Completed (59),5/20/2017,12:00 PM,3:00 PM,RNY Fair (FAIR),Community Resource Fair,Brooklyn,William E. Grady Career and Technical Education High School,25 Brighton 4th road,20,11235,40.582585,-73.963477,313,48,3196378,3072610201,366,BK1303
Completed (59),5/20/2017,10:00 AM,3:00 PM,RNY Fair (FAIR),Child's Month Community Fair with Ready Girl,Brooklyn,Good Hope Missionary Church,571 Liberty Ave,75,11207,40.675572,-73.888674,305,37,3088302,3039640031,1198,BK0502
Completed (59),5/20/2017,10:00 AM,1:00 PM,RNY Fair (FAIR),CB 6 It's My Park Day,Bronx,Tremont Park,East Tremont Ave and Lafontaine Ave,0,,,,,,,,,
Completed (59),5/21/2017,1:30 PM,2:30 PM,RNY General Presentation (GEN),RNY Presentation: Disabled in Action,Manhattan,Disabled in Action,135 W 23rd St ( meeting downstairs in classrom) NY NY,40,10011,40.743386,-73.993916,104,3,1014949,1007990021,91,MN0401
Completed (59),5/21/2017,11:00 AM,4:00 PM,RNY Fair/Presentation (FP),EMS Week Family Fair with Ready Girl,Brooklyn,Saint Finbar's Roman Catholic Church,138 Bay 20th Street Brooklyn New York 11214,300,11214,40.603701,-74.004001,311,38,3167752,3064040042,280,BK1102
Completed (59),5/21/2017,12:00 PM,5:00 PM,RNY Fair (FAIR),Adoptapalooza Union Square,Manhattan,Union Square,Union Square,300,,,,,,,,,
Completed (59),5/22/2017,11:00 AM,12:00 PM,RNY General Presentation (GEN),RNY Bilingual Presentation for Seniors Workshop  What's in My GO Bag,Bronx,Melrose Senior Center,372 E 152 St Bronx NY 10455,15,10455,40.818516,-73.91793,201,17,2090413,2023980014,67,BX0102
Completed (59),5/22/2017,1:45 PM,2:45 PM,RNY General Presentation (GEN),RNY for staff at Adapt Community Network,Manhattan,Adapt Community Network,80 Maiden Lane,40,10038,40.707116,-74.007329,101,1,1001015,1000420031,7,MN0101
Completed (59),5/22/2017,9:30 AM,12:00 PM,RNY for Kids (KIDS),Ready NY for Kids,Brooklyn,PS 151,763 Knickerbocker Ave,350,11207,40.693293,-73.90864,304,37,3078654,3034060001,437,BK0402
Completed (59),5/22/2017,6:00 PM,7:30 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Brooklyn,Restoration Plaza,1368 Fulton Street,75,11216,40.680175,-73.945717,303,36,3053786,3018620014,247,BK0301
Completed (59),5/23/2017,11:00 AM,12:00 PM,RNY General Presentation (GEN),RNY Presentation:  Adapt Community Network Staten Island,Staten Island,Adapt Community Network,281 Port Richmond Avenue  Staten Island NY 10302,25,10302,40.634511,-74.135733,501,49,5024273,5010370006,213,SI0106
Completed (59),5/23/2017,9:00 AM,1:00 PM,RNY Fair (FAIR),City Hall in Your Borough: City Resource Fair,Bronx,The Bronx County Building/Veterans� Memorial Hall,"851 Grand Concourse Bronx, NY 10451",80,10451,40.826048,-73.923102,204,16,2002869,2024680001,6301,BX0401
Completed (59),5/24/2017,7:00 PM,9:00 PM,RNY Hurricane (H),Hurricane Preparedness for Brooklyn CB 13,Brooklyn,Coney Island Hospital,"2601 Ocean Pkwy, 2nd floor",80,11235,40.586552,-73.966168,313,48,3337274,3072390001,370,BK1301
Completed (59),5/24/2017,9:00 AM,11:00 AM,RNY for Kids (KIDS),Ready Girl,Queens,PS/MS 219,144-39 Gravett Road,10,11367,40.735277,-73.823749,408,24,4448708,4065070001,809,QN0801
Completed (59),5/24/2017,9:00 AM,11:00 AM,RNY for Kids (KIDS),Ready Girl,Queens,PS/MS 219,144-39 Gravett Road,70,11367,40.735277,-73.823749,408,24,4448708,4065070001,809,QN0801
Completed (59),5/24/2017,10:00 AM,3:00 PM,RNY Fair (FAIR),Youth and Family Day @ Mullaly Park,Bronx,Mullaly Park,999 Jerome Ave BX E165 b Jerome and River,500,10452,40.831342,-73.926518,204,16,2003054,2025040141,189,BX0402
Completed (59),5/25/2017,8:30 AM,12:00 PM,RNY for Kids (KIDS),Ready NY for Kids,Bronx,PS/MS 29,758 Courtlandt Ave/PS/MS 29,650,,,,,,,,,
Completed (59),5/25/2017,9:00 AM,11:00 AM,RNY for Kids (KIDS),Ready Girl for Pre-K,Queens,District 24 Pre-K Center,98-11 44th Avenue,140,11368,40.745709,-73.865329,404,21,4547623,4016280021,40901,QN0402
Completed (59),5/26/2017,8:00 PM,9:00 PM,RNY General Presentation (GEN),RNY Teleconference:   Helping Hands for the Disabled,Brooklyn,CALL IN 1.857.216.6700 CODE: 797305,Phone Call In,8,,,,,,,,,
Completed (59),5/26/2017,10:15 AM,12:35 PM,RNY for Kids (KIDS),Ready NY for Kids,Bronx,Urban Assembly School for Wildlife Conservation,"2024 Mohegan Avenue, 5th Floor",220,10460,40.843945,-73.884788,206,15,2013142,2031230003,363,BX0601
Completed (59),5/26/2017,8:30 AM,9:30 AM,RNY for Kids (KIDS),Ready Girl for Pre-K and K,Queens,PS161Q Arthur Ashe School,101-33 124th Street Richmond Hill NY 11419,370,11419,40.690798,-73.821657,409,29,4200748,4094910001,156,QN0903
Completed (59),5/26/2017,8:00 AM,12:30 PM,RNY for Kids (KIDS),Career Day at P.S. 345,Brooklyn,PS 345,111 Berriman Street,60,11208,40.676129,-73.880337,305,37,3088734,3039900001,1192,BK0502
Completed (59),5/30/2017,1:00 PM,2:00 PM,RNY General Presentation (GEN),Bilingual Emergency Preparedness Presentation,Brooklyn,JASA Bushwick Hylan Houses,50 Humboldt St Brooklyn NY 11206,19,11206,40.703179,-73.940761,301,34,3338434,3031290001,489,BK0104
Completed (59),5/30/2017,9:00 AM,10:45 AM,RNY for Kids (KIDS),Ready NY for Kids,Bronx,Ps 449,250 east 164th street,500,10456,40.828696,-73.917668,204,16,2002497,2024460043,18302,BX0401
Completed (59),5/31/2017,11:00 AM,12:00 PM,RNY General Presentation (GEN),RNY Presentation:  St. Francis De Sales School for the Deaf,Brooklyn,St. Francis De Sales School for the Deaf,"260 Eastern Parkway Brooklyn, NY 11225",20,11225,40.671145,-73.960357,309,35,3029670,3011850001,213,BK0901
Completed (59),5/31/2017,10:00 AM,12:00 PM,RNY for Kids (KIDS),Ready Girl,Queens,Goldie Maple Academy,365 Beach 57th Street,42,11692,40.593931,-73.787161,414,31,4436427,4158950050,97204,QN1402
Completed (59),6/1/2017,11:00 AM,12:00 PM,RNY General Presentation (GEN),Beat the Heat At Gowanus Senior Center Bilingual Presentation,Brooklyn,Raices Gowanus Senior Center,420 Baltic St Brooklyn NY,15,11217,40.683646,-73.988783,306,39,3336072,3004040001,71,BK0601
Completed (59),6/1/2017,9:00 AM,12:00 PM,RNY for Kids (KIDS),Petrides Alumni Career Day,Staten Island,Michael J. Petrides High School,715 Ocean Terrace,100,10301,40.608512,-74.102067,502,50,5113169,5006830001,17701,SI0203
Completed (59),6/2/2017,11:00 AM,12:00 PM,RNY General Presentation (GEN),RNY Bilingual Presentation for Older Adult Hurricane Preparedness,Manhattan,Corsi Senior Center,307 E 116th Street Bet 1st and 2nd NY NY 10029,38,10029,40.796935,-73.93759,111,8,1079357,1016880045,188,MN1102
Completed (59),6/2/2017,11:00 AM,12:30 PM,RNY General Presentation (GEN),RNY ESOL Senior,Bronx,PSS Parkside Senior Center,644 Adee Ave,35,10467,40.86967,-73.869106,211,12,2101742,2045420100,33601,BX1104
Completed (59),6/2/2017,6:00 PM,7:45 PM,RNY for Kids (KIDS),Ready Girl,Brooklyn,St Brendans School/ William O'Connor,1520 East 13th St. ( Entrance on Ave O),60,11230,40.612044,-73.960799,314,48,3329249,3067590001,542,BK1403
Completed (59),6/3/2017,10:00 AM,12:00 PM,RNY Fair (FAIR),PS 67K Family Forum Fair,Brooklyn,P.S.67 Community School (Schoolyard),51 St Edwards  Brooklyn NY 11205,160,,,,,,,,,
Completed (59),6/3/2017,11:30 AM,4:30 PM,RNY Fair (FAIR),16th Annual SBCA Educational Picnic Fundraiser,Staten Island,Vanderbilt South Fin Grill,300 Father Capodanno Blvd,25,10305,40.589271,-74.067703,595,50,5136135,5035250200,7002,SI0201
Completed (59),6/3/2017,10:00 AM,3:00 PM,RNY Fair (FAIR),PTA Education Fair ESOL,Manhattan,P.S. 124,40 Division St.,150,10002,40.714182,-73.995451,103,1,1075787,1002890001,16,MN0301
Completed (59),6/3/2017,9:00 AM,12:00 PM,RNY Fair (FAIR),Community Fair @ August Martin HS,Queens,August Martin HS Auditorium,156-10 Baisley Blvd Jamaica NY 11434,25,11434,40.675633,-73.783342,412,28,4265978,4122610001,294,QN1204
Completed (59),6/3/2017,9:45 AM,2:45 PM,RNY Fair (FAIR),Day of Health and Sports,Queens,p233Q Metropolitan Campus,"90-30 Metropolitan Avenue
Forest Hills, NY 11375",250,11374,40.711738,-73.859114,406,32,4095021,4038840034,637,QN0503
Completed (59),6/3/2017,10:00 AM,2:00 PM,RNY Fair (FAIR),Annual Health Fair At ACE Intergration Head Start,Brooklyn,ACE Integration Head Start,1419 Broadway Brooklyn NY 11221,100,11221,40.688518,-73.920315,304,37,3251950,3033570006,397,BK0402
Completed (59),6/5/2017,10:30 AM,12:00 PM,RNY for Kids (KIDS),Ready School of the Year,Bronx,PS 207,3030 Goodwin Terrace,500,,,,,,,,,
Completed (59),6/6/2017,3:00 PM,4:00 PM,RNY General Presentation (GEN),RNY Presentation for Older Adults,Manhattan,Frederick Douglass Senior Center,868 Amseterdam Ave bet 102 103 NY NY 10025,16,,,,,,,,,
Completed (59),6/6/2017,1:45 PM,2:45 PM,RNY General Presentation (GEN),RNY for Staff at Adapt Community Network,Manhattan,Adapt Community Network,80 Maiden Ln,40,10038,40.707116,-74.007329,101,1,1001015,1000420031,7,MN0101
Completed (59),6/6/2017,8:00 AM,11:00 AM,RNY for Kids (KIDS),Career Day,Queens,PS/IS 499,148-20 Reeves Ave,80,11367,40.739246,-73.822057,408,24,4467571,4065070150,809,QN0801
Completed (59),6/7/2017,11:00 AM,12:00 PM,RNY General Presentation (GEN),Emergency Preparedness Presentation for Older Adults,Queens,Self Help Austin Street Senior Center,106-06 Queens Blvd.,35,11375,40.72212,-73.847335,406,29,4077479,4032370040,711,QN0602
Completed (59),6/7/2017,9:18 AM,1:18 PM,RNY General Presentation (GEN),RNY Presentation at UA School for Emergency Management,Manhattan,UASEM,411 Pearl St,120,10038,40.711442,-74.000851,101,1,1001388,1001130100,2901,MN0102
Completed (59),6/8/2017,9:00 AM,10:30 AM,RNY General Presentation (GEN),Emergency Preparedness Demonstration for Faculty and Staff,Brooklyn,P.S.243K,"1580 Dean Street
Brooklyn , New York 11213",25,11213,40.676094,-73.935688,308,36,3035761,3013470001,309,BK0802
